[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
SmartTraffic,信息技术,河北师范大学,"当前随着我国城市的飞速发展，同样也面临着各种严重的交通问题。我们的作品“SmartTraffic”采用开放、灵活的无线物联网技术框架,标准的开发模式，包括手机客户端、车载智能终端和后台服务器端三大模块。主要针对解决现实交通生活的两大问题：1、乘客对公交车到站情况和出租车实时位置情况掌握不清。2、出租车司机不知道乘客的位置，找不到附近客源，甚至“擦肩而过”。"
基于低速无线个域网的监测平台的研发,信息技术,安徽工程大学,系统以仓储内参量为应用对象，远程自动监测，同时分析监测平台在粮食行业、水产养殖、水泥无线除尘、室内环境监控、仓储查询等应用。采用嵌入式系统、无线网络传输技术、时间同步技术、DPM、DVS等节能关键技术，组建一种由基于ARM的中心节点、路由节点、终端节点和上位机管理软件等组成的仓储内监测平台。进行了专利的申报。为现代化工业现场大规模使用无线传感器网络做出了一定贡献，有着非常重要的实际意义和应用价值。
电动汽车磷酸铁锂电池能量均衡控制系统,信息技术,湖北汽车工业学院,磷酸铁锂电池能量均衡系统，分别采用XE164和XC878做为主从机控制核心，以LTC6802-1作为电池电压采集控制核心，开发了充电、放电以及静态的能量均衡控制算法，设计了基于电感储能的无损式均衡电路。系统配以7寸800*480触控液晶屏，具有良好的人机交互界面。样机实验结果表明，该均衡系统较好地实现了电池充电过程的能量均衡、电压监控与电池管理以及保护等功能，具有较高的均衡效率。
基于ARMLinux的加油站联网综合数据采集仪,信息技术,浙江工商大学,"我国石油零售业的自动化和信息化程度已达到一定水平，但油站自动化和信息系统普遍存在信息孤岛的现象。综合数据采集仪通过计算机、物联网、网络和数据库等技术,实现自动化和智能化信息集成,实现可视化业务流程，故对实现“管理信息化、管理自动化、管理精细化”具有重要意义。项目已获得发明专利一份，软件著作权一份，科技查新报告一份，软件测评书一份，并撰写相关论文一篇，已成功在浙江29家加油站试用，正处于中试阶段。"
基于三维可视化技术的医生桌面图像处理平台,信息技术,北华大学,医学图像的观察可以分为二维和三维观察，通过计算机手段和图像处理技术的辅助，可以更加有效地解决目前“胶片“读片方式的缺点，辅助医生更加直观的观察病人的病灶，来提高医生的诊断水平，减少误诊率。本项目重点解决目前医院中数字图像在院内传输和在医生工作平台上二维显示和三维观察的问题，综合图像处理技术，自主研发的快速三维绘制和交互式显示、观察的图像处理技术，开发出基于三维可视化技术的医生桌面图像处理的平台。
便携式雾霾空间分布激光探测仪,信息技术,西安理工大学,项目以光学遥感原理为基础，基于微脉冲米散射激光雷达平台，利用三维扫描探测获得雾霾颗粒物污染物的空间分布并实时显示其时间-距离-强度（THI）图。采用模拟探测技术，解决了光子计数探测在雾霾区域信号失真的问题。设计了激光器温度及能量监测控制装置，确保系统稳定工作。基于VC++平台开发一键式控制软件，集成了控制、数据分析和可视化显示等功能。可为气象和环保部门提供一种新的雾霾颗粒物监测仪器。
新型干酪乳杆菌添加剂的研制与应用,生命科学,四川大学,1、利用从青藏高原传统发酵的酸牦牛乳中分离得到的干酪乳杆菌lyT-7产生的细菌素研制一种具有高效抑菌活性，无抗原活性，无毒副作用、无抗生素残留、无抗药性，利用农副产品废料为原料的低成本高营养的新型饲料添加剂；2、利用该新型饲料添加剂解决当下禽畜类体内残留抗生素对人体健康的危害，保证人民食品安全；3、解决农副产品下脚料难以处理的环境问题，从而达到资源的综合利用，促进养殖业集约化发展。
基于酶法修饰的高活性低副作用肝素衍生物的制备,生命科学,江南大学,本产品针对临床使用中肝素存在的抗凝活性低，容易引发血小板减少症等问题。通过酶法制备高活性、低副作用的肝素衍生物，即首先通过3-OST-1对肝素进行选择性硫酸化修饰，增加抗凝血活性中心数量；其次利用2-O-sulfatase选择性去除与抗凝血活性无关的硫酸基，从而使肝素衍生物的抗凝活性提高了2倍以上，副作用明显减小。目前已申请国家发明专利2项，并与企业达成合作开发协议，产品经两家企业试用，反馈良好。
PM2.5的超高效捕集装置,能源化工,宁波大学,"目前国内外尚无高效过滤粘性PM2.5的捕集装置，本作品提出“覆膜布袋+助滤粉饼”的新思路，研发出一套新型全粉饼高效过滤除尘装置，攻克各式除尘器不能过滤粘性微细粒子的世界性难题，同时显著提高对亚微米级颗粒物的过滤效率,可广泛适用于交通、能源、化工、钢铁、有色、玻璃、涂料、餐饮等众多领域，为减排PM2.5做出巨大贡献。现已与江苏江阴、宁波镇海等多家企业达成合作意向。"
石墨烯-纳米二氧化钛三维多孔复合材料的简易绿色合成方法及其多功能应用,能源化工,华中科技大学,石墨烯-纳米二氧化钛复合材料作为一种新型的复合光催化剂由于其环境友好和优异的光催化降解能力而在有机废水处理中有着广泛的应用前景。本作品设计了一种全新的具有三维多孔结构的石墨烯-纳米二氧化钛复合材料的简易绿色合成方法。研究发现该三维复合材料具有优异的光催化性能、吸附性能以及电化学储能性能。
用于渗滤液和钻井液等浓污染液的处理装置--螺旋分离器,能源化工,重庆科技学院,我们组设计出一套浓污染液处理装置，重点处理浓污染液体，其工作原理是：热源加热螺旋分离器的空腔，需要处理的浓污染液从废液入口进入螺旋分离器中，螺旋刮片和平面刮片将浓污染液均匀的刮散在内筒壁上，浓污染液中水分瞬间蒸发，而后从蒸汽出口排出，在换热器中冷却后形成干净的液体排出，同时浓污染液中的残余结渣在螺旋刮片推动向下输送，从残渣出口排出，实现固液分离。
一种新型应急降藻剂的研发,能源化工,重庆工商大学,本团队自主研发的改性河沙组合降藻剂，是以随处可见的天然河沙为载体，通过改性剂（壳聚糖）对植物次级代谢（化感物质）和河沙的包覆作用来达到改性河沙的目的，最终得到一种具有推广意义的高效、价廉、环保的除藻剂。
铝硅合金熔体处理与微细化方法,能源化工,山东大学,过共晶Al-Si合金以其优良的性能在加工制造业应用广泛，但使用前必须对合金中粗大的初晶硅进行变质处理。本团队制备的Al-Zr-P中间合金能够同步实现过共晶Al-Si合金的变质及强化处理；Al-La-P中间合金能够实现压铸Al-Si合金的低温细化处理。且本产品具有绿色环保、成本低廉等优势，因此应用前景广阔。
Anti-ICE飞机结冰数值模拟软件,信息技术,南京航空航天大学,本作品以高空飞机结冰现象为研究背景，重点研究了结冰数值模拟计算方法，开发了面向用户的飞机结冰数值模拟软件Anti-ICE。本作品基于实际物理过程，将软件分解为网格生成，流场计算，水滴轨迹计算，结冰生成和模型重构等模块并集成于MFC软件计算平台中。在算法中提出了一系列创新点，使结冰模拟精度较国外权威软件提升15%以上。软件可以准确模拟飞机结冰情况，在适航，发电，铁路等诸多领域拥有广阔的应用前景。
空气净化用磷酸法竹屑活性炭的制备,能源化工,贵州大学,以贵州赤水竹材废弃物为原料，结合贵州磷矿产品磷酸，制备空气净化用活性炭。研究了浸渍比、浸渍时间、碳化时间、活化时间、活化温度对活性炭吸附性能的影响。通过对甲醛的吸附穿透曲线和N2吸附脱附等温线，及对碘和甲醛吸附进行表征和评价。研究表明，产品比表面积达1542.52m2g、总孔容0.921cm3/g、碘吸附值达1314.62mg/g、穿透时间为64min、有效时间内的吸附量达1297.73mg/g。
冶金废渣黑陶太阳能集热板的开发及应用研究,能源化工,青海大学,本项目为了解决现有高原地区寒冷，以及国内现有的太阳能收集器成本高、寿命短、太阳能吸收率低等问题而提出了一款适合高原寒冷地区使用的黑陶太阳能板，整体由普通陶瓷、真空玻璃罩和冶金废渣层组成，由于采用黑瓷层作为阳光吸收层，其保持高阳光吸收比的时间可与建筑同寿命；采用直通式结构，具有很小的循环阻力和很高的循环效率，板体有很高的强度、刚性，所以没有通常平板式太阳能集热器的金属外壳、简化结构、降低成本。
基于无源涡流调控高效强化换热技术的冷却系统,机械与控制,南京航空航天大学,本作品以航空发动机中最易损坏的涡轮叶片为对象，提出了一种基于无源涡流调控强化换热技术的高效冷却结构，通过综合冷效试验，实现了相同冷却空气量下叶片工作温度提高100K、冷却结构绝对温降超600K的目标，达到国外同推重比量级发动机中先进高压涡轮叶片冷却技术水平，绝对温降指标处于国内领先。本作品还可应用于大功率雷达等装置的热端部件冷却设计。
仿蛇形结肠疾病检测机器人,机械与控制,苏州大学,针对传统结肠内窥镜在检查过程中主动弯曲能力不足且易引起病人严重不适和痛苦的缺陷，基于仿生学原理提出一种具有多自由度自主弯曲能力的仿蛇形结肠疾病检测机器人。该机器人结构上模仿生物蛇关节，驱动方式模仿章鱼触手弯曲原理，采用人工导向的主动弯曲控制方式；具有结构尺寸小、弯曲特性良好、主动弯曲能力强、驱动方式新颖、控制灵活、结构简单、不存在发热现象等优点，可以取代传统内窥镜，成为一种先进的结肠疾病检测机构。
阵列布局轻质结构十六旋翼飞行器,机械与控制,上海交通大学,"能在超低空复杂环境中作业、可精确定点的低成本小型无人飞行器具有广阔的市场需求与应用前景，而现有成熟的旋翼飞行器负载能力一般不足2kg。我们提出并验证了通过增加旋翼数量来增大有效载荷的多旋翼飞行器设计方法,优选出阵列式多旋翼布局，优化设计了轻质框架外伸梁结构，保证了定位精度，提高了飞行稳定性，增强了结构整体刚性。首次设计并实现了可以垂直起降、任务载荷达8kg、载荷重量比达0.4的十六旋翼飞行器。"
全时间-全空间分辨率动态物体三维测量仪,机械与控制,华中科技大学,工业加工等领域常需要对产品或操作对象进行动态三维面形测量，而传统静态三维测量技术无法捕获物体动态三维数据，因此我们研制了一套低成本、高速、高精度的动态三维物体测量仪，实现了对复杂形面特别是表面不连续物体实现全时间、全空间分辨率测量。本测量仪可应用于工业加工、医学影像分析、影视动画制作、反求工程等广泛领域，并可为先进制造、3D打印等前沿技术提供辅助。
轮足转换可飞行的陆空两栖搜救机器人,机械与控制,广东工业大学,本机器人采用轮足复合转换以及空中旋翼飞行方式，可随时应用于多种复杂环境灾害现场的救援工作中，实时采集并通过无线传输现场环境图像、声音等信息，为救援人员制定救灾方案，及时开展救援工作提供决策信息依据。该机器人可应用于地震、火灾、水灾、有毒气体泄漏、爆炸等灾害现场。具有灵活性好、机动性强的特点，有较好的爬坡和越障能力，能适应现场各种各样的地理环境等多项优点。
“风火轮”滚翼无人机,机械与控制,西北工业大学,滚翼机是一种用摆线桨来提供升力和动力的新型飞行器。摆线桨是一种由两片以上桨叶构成的、效率高、噪声小的全向矢量推力装置，在未来无人飞行器领域有广阔的应用前景。摆线桨的运动属于复杂的强非定常运动；滚翼机在总体设计、结构布局、飞行控制以及加工制造方面存在许多难题。“风火轮”滚翼机较好地解决了上述问题，实现了滚翼机一百余年研制历史上第一次有记录的可控飞行。
新型短壁薄煤层综合机械化开采设备,机械与控制,辽宁工程技术大学,目前现有的薄煤层开采设备的机械化水平比较低，为此我们提出了新型薄煤层综合机械化开采装备：采用立（或水平）滚筒破煤机构把煤从煤煤壁上破碎下来；悬臂式刮板装载机构把破碎下来的煤装在工作面输送机上；固定在工作面两端的牵引机构带动机体沿着工作面自移；刮板输送机作为机体运行的支撑和导向，并且作为拉架的基础，将破落的煤运到顺槽转载机里；薄煤层液压支架支撑顶板为开采提供工作空间，同时作为推移刮板输送机的基础。
显微流量传感器集成化芯片设计与可视化流量检测,机械与控制,中国计量学院,本作品是在集成化微悬臂梁流量传感器芯片设计的基础上，借助显微图像采集与处理技术获得微悬臂梁受流体载荷作用产生的变形位移，根据流量——位移的标定函数关系，实现微升量级流体的显微可视化流量检测。在目前国内微升量级流量检测领域没有成熟产品的背景下，制成了一套可测量级较小的微流量测量仪器，具有精度高，响应速度快，功耗低，成本低，操作简单的优势，是微流量检测技术中的新思路和新方法。
两栖蛙板机器人,机械与控制,北京理工大学,本作品是一个拥有新型运动形式的两栖机器人。它通过腿臂的摆动，配合腿部末端的反偏向轮和尾鳍进行机器人水陆两栖的驱动。机器人上搭载有传感器、通信设备，用户可以通过上位机界面实时看到机器人上摄像头拍摄的画面和传感器获得的数据。该机器人具有两栖生存能力，可以实现水陆两栖运动形式的统一，解决了目前大多数两栖机器人必须更换执行机构才能进行水陆切换的现状，它可以完成军事侦查、环境勘测等多种任务。
让压预警智能锚杆监测系统,机械与控制,湖南科技大学,"随着全球资源逐渐步入深部开采，高应力条件下硬脆围岩洞室发生岩爆、冲击地压等围岩动力灾害愈加严重,锚杆支护是围岩灾害控制的有效手段,但普通锚杆未充分考虑硬脆围岩静、动力学破坏特点，具有高承载强度和让压变形顾此失彼的缺陷，且不具备监测预警功能，此外，全巷道围岩监测网络亦存在不足。本作品通过对普通锚杆结构进行智能化设计以实现对围岩动力灾害的防治、近距离超前预警与远程综合监控，具有显著的安全意义。"
“神行太保”多用途机器人,机械与控制,北京理工大学,该作品是在仿生研究的基础上设计得到的一款结构优化、控制先进的机电一体化产品。它具有高达46个自由度，配合创新的轮腿足与柔性腰部的设计，在分级递阶式控制系统的控制下，使其兼腿式机器人适应能力强与轮式机器人机动速度快的优点，能够跨越多种障碍，对环境有较强的适应能力，可在警用甚至军用领域上应用。同时其步态动作极为多样，可展现轮式与腿式、直行与摆动的交叉组合姿态，能应用于娱乐。
皇冠瓶盖高速在线机器视觉检测,机械与控制,上海大学,"本作品引入了机器视觉高速在线检测，并将此项技术应用于金属皇冠瓶盖生产中。在实际生产线上，当待测瓶盖到达检测工位时会触发工业相机采集瓶盖图像,并将采集到的图像通过千兆网实时传输到工业计算机中，计算机获取图像后，对图像进行分割、匹配等处理后判断瓶盖是否存在瑕疵，并通过高速IO接口控制瓶盖剔除装置决定是否剔除，从而实现皇冠瓶盖高速在线机器视觉检测。"
面向空间探测的力觉临场感遥操作机器人,机械与控制,东南大学,我们作品实现了在人机共同协助下完成探索空间的目的，操作者控制从端的机器人完成空间作业任务。整个系统主要由力反馈手控器、机械臂、Kinect、CCD摄像头和控制电路组成。力反馈手控器采用并行连杆机构+菱形机构设计。我们使用Kinect对场景进行重建，建立机器人及其工作环境的虚拟交互模型，模拟失重的环境，提供实时的视觉和力觉反馈，具有预测性、交互性和临场感的特点，可以消除时延的影响。
海洋及流体测控实验装置,机械与控制,海南大学三亚学院,该装置通过计算机控制的海洋及流体测控实验平台。该海洋及流体测控装置与同类设备相比结构简单、设备成本低，运行费用少，为点吸式波浪能发电提供一个模拟波浪的实验平台，既节约了波浪能发电装置研发的成本，减少了海试的风险，缩短了研发周期，进而为波浪能转换装置的测试建立了实验平台，为模拟海洋波浪能能量转换及发电打好基础。同时又能够用于工业和过程控制，满足各种流体测试及教学的需求。
旋转组合式不落梁顶推装置,机械与控制,武汉理工大学,顶推法是运用顶推装置将梁从岸边运至桥墩指定位置的一种施工方法。其中优化桥墩受力，缩短工期，降低成本是促进顶推法发展的关键因素。我们设计的旋转组合式不落梁顶推装置通过多点多区域顶推和单元偏心布置，有效分散应力减小墩底弯矩；通过空载升降连续顶推体系，有效缩短工期节约能耗；通过装配式基本顶推单元和可旋转顶推单元设计，满足曲线桥梁施工；具有受力合理，施工速度快，经济性强，适用范围广等优点，市场前景良好。
地下工程重大突水突泥灾害控制关键技术四维可视化监测系统,机械与控制,山东大学,我国地下工程建设已进入高峰期，但在地下工程建设过程中经常遭遇重大突水突泥灾害事故。目前注浆加固是治理和控制地下工程突水突泥灾害的重要手段，但由于地质环境的不可视导致对注浆加固机理的研究进步缓慢。针对上述现状，团队研发了四维可视化监测系统来实时监测并可视化表达地下环境的多物理场数据信息，以揭示浆液在三维岩体中的扩散规律，研究注浆加固机理，从而优化注浆工艺，有效地控制突水突泥等灾害事故的发生。
全自动驾驶多旋翼无人机智能飞控系统,机械与控制,广东工业大学,自主研发出全自动驾驶、姿态和稳定性智能控制的多轴无人机飞行控制系统和新型多轴飞行器。采用了多种先进和独创的PID算法，实现全自动飞行。在设定飞行任务后，一键起飞，自主完成巡航、执行任务、返航降落等全过程；具有自适应机型、环境和状态，智调飞参飞态，自动避障和精确降落充电等功能；具备处理单电机空中停转等故障、完成倒飞等高难度动作、实现二轴和新型四轴鱼鹰飞控的能力。可全自动完成任务，应用前景广阔。
新型旋转推进液压缸,机械与控制,武汉工程大学,"本作品是一种新型的液压执行元件,可在旋转推进复合运动领域取代传统液压缸和液压马达的组合机构。目前取得了国家实用新型专利，并申报国家发明专利，查新报告显示本技术是国内外首创。新型旋转推进液压缸具有四个最重要的优点：1.优良的自适应性，高效节能；2.一体化集成，油路简单、维护方便；3.结构紧凑、体积小；4.成本低。在机床运动控制、掘进工程、搅拌工程、油田钻探开采等工程领域中有广阔的应用前景。"
基于LED的智能蔬菜生长柜,机械与控制,天津职业技术师范大学,智能蔬菜生长柜是利用LED光源代替自然光源，环境参数可数字调节的新型绿色环保的无土蔬菜培养环境。智能蔬菜生长柜的测控模块是以ATmega128为核心芯片，包含可配置LED光源板、CO2浓度传感器等部件。该智能蔬菜生长柜不受季节的影响，培育员通过人机交互界面，设定蔬菜生长所需要的环境参数，如光照、水、温湿度等。当设定完成后，生长柜智能化地调节蔬菜生长各阶段所需的环境条件，使其茁壮生长，直到成熟收获。
非铁磁性材料阵列式磁法检测仪,机械与控制,南昌航空大学,研制一种用于非铁磁性材料无损检测的阵列式磁法探伤仪，其原理是：处于地磁场中的试件，若试件中存在不连续性，不连续性会使穿过试件的磁感应曲线在不连续处不均匀衰减，进而影响试件表面相对应位置处的磁场强度。用高精度测磁传感器检测试件表面处的磁场强度值，通过计算机程序判断该区域是否存在缺陷，应用视磁化率成像算法将检测结果呈现在显示屏上。该探伤仪能对材料中的缺陷进行准确、直观化、自动化高效率的无损检测。
基于植物工厂化的立体式智能育秧机器人管理平台,机械与控制,东北农业大学,针对传统大棚育秧的诸多弊端，无法满足农业规模化、集约化的发展要求，本团队研制了一种基于植物工厂化的立体式智能育秧管理平台。该系统主要由立体式自适应育秧平台和坐标式智能育秧管理机器人两部分组成，可对育秧过程各指标进行智能精量调控，并通过两组多自由度机械手对秧苗进行搬运和施药施肥护理等作业，大大提高了育秧效率和质量，是未来工厂化育秧的必然趋势。本项目已申请国家发明专利两项，软件著作权一项。
一种无纺布平面口罩上带方法及设备,机械与控制,湖北工业大学,本作品针对现有口罩生产中上耳带技术的不足，创新性的提出了一种无纺布平面口罩上带方法及设备，它集口罩生产中“上耳带-包边-切断”工序于一体，使耳带输送与口罩本体的连续输送同步进行，用真空吸附装置实现耳带的定位与分离，用焊接滚轮配合超声波加热器，将耳带无间歇地焊接在口罩本体上；并采用滚焊和滚切的方式，对口罩进行同步包边处理并切断分离，完成口罩最终成型。
大型数控拉削机床电液伺服同步驱动装置,机械与控制,杭州电子科技大学,作品选题针对缙云县高新机械制造有限公司的转型升级提出，隶属国家“十二?五”规划重点支持的高端装备制造业，主要创新在于通过模块化和集成化的系统硬软件设计，简化电液伺服同步驱动技术实现，使得大学生掌握该技术成为可能。作品经浙江省科技信息研究院查新，属国内首先提出；经浙江省机电设计研究院检测所检测，技术指标达国内领先水平。作品已申报实用新型专利1项，其应用产品已为缙云高新创造了超过1千万元的经济效益。
基于Android的餐厅服务机器人,机械与控制,宁夏大学,"进入21世纪,人们的生活节奏加快，餐饮业的竞争也日益激烈起来，餐厅服务人员需求量大，服务成本高，餐厅需要更多的特色吸引顾客，希望用更少的服务成本获得更大的利润。基于此我们设计了一款基于Android的餐厅服务机器人。随着智能手机的提高和普及，为低成本智能机器人的研发带来了新的契机，本研究的目标就是利用智能手机技术，构建低成本的智能餐厅服务机器人。"
柔性电路板自动光学检测设备运动控制系统设计,机械与控制,东北大学秦皇岛分校,该作品以Galil运动控制器为核心，结合伺服控制系统的电气设计和面向对象的软件设计方法，为微小型的柔性电路板的自动光学检测设备提供一套高精度、高效率的运动控制系统。作品软件采用独立型设计，与设备其它软件采用TCP协议下的Socket（套接字）数据传输，可以广泛移植到各类光学检测平台。
立轴滚筒式矮化密植型红枣采收机,机械与控制,石河子大学,本作品基于树冠振动采收原理，将立轴拨杆滚筒振动采收装置固装在机架两侧，与集果输送装置、清选系统、液压系统进行技术集成。该机适于新疆矮化密植、枣农间作两种种植模式（占新疆红枣种植面积的90%以上，且树高在3m以下）。通过采收试验表明：本机对含水率60%以下的红枣，平均采收率在98%以上，生产率可达5~8亩/小时，含杂率小于2%，符合生产需求，解决了人工收获存在的问题。
复杂多相流体流量及组份在线智能测量装置,机械与控制,哈尔滨理工大学,装置针对传统电磁流量计对复杂多相流体流量计量误差过大问题而研究设计。流速测量环节采用电磁测量原理，利用长条电极，解决传统电磁流量计在含有气泡、非满管等流态不均衡条件下带来的流速测量不稳定问题；通过装设测量电容，动态分析管道断面液体成份比例，得到有效液体截面积，用流速和有效截面积乘积计算出流量，克服传统电磁流量计计及气相含量造成的流量计量误差问题。装置可适合多种流量计量场合，具有重大实际应用价值。
微粉输送器中的废气阻隔技术,机械与控制,西南科技大学,"微粉带压密封输送中的废气泄漏与环境污染是化工生产过程中的主要问题之一。本项目针对现有技术方案的不足，通过结构改进，提供一种能将微细粉体与残余废气有效分离，减少输送过程中粉体与废气泄露产生的污染与浪费，实现粉体平稳、连续均匀、环保无害化输送的装置。在现有输送装置的基础上，设计了料位检测、变螺距变直径与预紧止推结构，实现微粉在输送中的三次废气阻隔,达到高效率、低泄露的带压粉体输送效果。"
垂直升降式单体仿形棉花打顶机,机械与控制,石河子大学,针对现有棉花打顶机切割器动力传递与仿形升降运动干涉而造成的打顶精度低和稳定性差这一问题，提出了基于伸缩套管传动和垂直升降仿形平台的3MDZF-6型单体仿形棉花打顶机整机结构方案，通过理论分析、计算机辅助设计和台架试验研究等确定了关键部件的结构方案和设计参数。田间试验结果表明：当作业速度2-3km/h，打顶率达到91.4%，平均打顶量3.3cm，打顶前后棉株高度拟合较好。
稠油热采井口蒸汽分配计量装置研究,机械与控制,辽宁石油化工大学,开展该项技术的研究是企业精细化管理以及企业节能减排的需要。该项目的实施能实现对注汽锅炉出口、相关井口入口的蒸汽干度、流量、焓值等精确测量和计量。开展该项技术的研究是企业信息化的需要。企业对信息化管理要求越来越高，对生产数据的采集内容不断扩大，不仅要求离线数据，更多地要求在线数据；同时，信息化也对数据的质量要求越来越高。因此，做好该项目也是更好地适应现场信息管理、信息调度、信息集成的实际要求。
采用高效无线供能的胃肠道新型钳位式微机器人诊查系统,机械与控制,上海交通大学,胃肠道微型机器人微创/无创诊查系统是当前医学工程研究的热点之一。本研究通过在有限空间内设计独特的空心周向椭圆型布线能量接收线圈，在符合生物电磁安全性要求下，实现高效、全方向无线能量接收；独创阿基米德螺旋线式钳位机构，实现与胃肠道的面接触，能够无创伤有效钳位；结合微机电系统技术和仿尺蠖式运动方式，实现机器人机构与控制、无线通讯、图像采集和传输等模块的微型化与集成，可对胃肠道进行主动诊查。
“取出式”不等速双曲柄传动全自动水稻钵苗移栽机构的优化设计及研制,机械与控制,东北农业大学,本发明通过对双曲柄与不等速传动复合机构的理论分析、建模，并对关键取苗机构与植苗机构进行创新发明，应用自编数字化设计优化软件以及虚拟制造、测试与仿真技术对机构进行优化设计，模拟人手移栽钵苗动作，形成“取出式”特殊移栽轨迹及姿态，实现了只用一个机构完成取秧、输送和栽植的全自动水稻钵苗移栽过程，性能可靠、结构简单、效率高、成本低廉，是现阶段我国唯一进入市场且生产推广的全自动水稻钵苗移栽机核心部件。
