[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(自然科学类)[作品信息]简介
δ阿片受体激动剂DADLE对大鼠急性全脑缺血再灌注损伤神经凋亡及多脏器的保护作用研究,生命科学,广州医学院,作品主要通过建立稳定的大鼠全脑缺血再灌注动物模型，给予不同剂量DADLE干预。观察比较其神经元细胞凋亡状况、脑组织病理形态学改变、Bcl-2、Bax、Caspase-3蛋白的表达量的变化情况以及MAPK信号转导通路中ERK通路的活化情况和远隔脏器病理改变，探讨δ阿片受体激动剂DADLE对大鼠全脑缺血再灌注损伤神经及器官保护作用，为临床心肺脑复苏中急性全脑缺血再灌注损伤提供实验依据与应用基础。
基于COX信号的EOFAZ对LPS诱导HUVECs损伤的保护作用,生命科学,贵阳医学院,心血管疾病是严重危害人类健的疾病，是血管内皮功能长期损伤的结果。研究表明，炎性反应，氧化应激是导致内皮功能损伤的首要原因。各种损伤刺激、心血管危险等因素均首先作用于血管内皮，并启动炎性反应。在实验室前期研究发现，艳山姜提取物具有明显抗炎、镇痛活性，且对血管功能的调控作用可能与血管内皮依赖性相关的基础上，提出以血管内皮功能损伤的炎症途径为切入点，系统分析艳山姜挥发油对血管内皮功能的炎性保护作用。
糖基因ST6GAL家族在肝癌转移中的作用,生命科学,大连医科大学,本项目拟以人肝癌高转移细胞株MHCC97-H和人肝癌低转移细胞株MHCC97-L为研究对象，采用定量Real-TimePCR、westernblot等一系列技术，阐明糖基因ST6GAL家族在肝癌转移中的生物学功能及其下游信号转导机制。该研究在基因、蛋白质、糖链的水平上全面揭示和理解肝癌转移的分子机理，确认新的肝癌转移糖标志物，对提高肝癌的治疗效果将具有十分重要的意义。
齐墩果酸共晶的研制及热力学研究,生命科学,河北医科大学,药物共晶是药物活性成分(API)和共晶形成物(CCF)以非共价键连接而成的超分子，是目前国际晶体工程学研究的前沿和焦点。本作品采用研磨法制备齐墩果酸-反丁烯二酸共晶，应用X射线粉末衍射、红外和拉曼光谱考察共晶的成键原理，采用相溶解度法计算二者的结合常数和热力学函数。该作品从能量的观点研究API和CCF作用的驱动力，具有一定的理论深度，为其他共晶的研究提供借鉴，为齐墩果酸共晶的研发提供指导。
西藏尼洋河浮游生物群落时空动态及与环境因子关系,生命科学,西藏大学农牧学院,本文于2011~2012年按照季节调查了西藏地区尼洋河浮游生物群落的组成、丰度和多样性，并运用多元统计方法定量分析了浮游生物的空间和季节变化特征及其与主要环境因子之间的关系。本挑战杯项目选择尼洋河浮游生物作为研究对象，分析浮游生物群落结构的时空动态，判断尼洋河水质理化因子与浮游生物群落之间的相互关系，推断和演绎它们与浮游生物群落结构的作用机制，从而为尼洋河水域生态的可持续发展提供理论基础。
与幽门螺杆菌HpaA定植相关的功能性亲和肽的筛选研究,生命科学,湖南师范大学,HpaA是幽门螺杆菌（H.pylori，Hp）的主要粘附因子，参与Hp在人体内的定植过程。特异性阻断HpaA与人胃上皮细胞表面受体的结合，可能成为治疗Hp感染的新方法，弥补常规治疗中出现的副作用大、耐药性等问题。以人工合成的HpaA主要结构域KRTIQKKRTIQK为靶标，应用噬菌体随机十二肽库进行筛选，获得了能与其相互作用的功能性亲和肽，为进一步研究Hp的致病机制和多肽药物治疗途径提供依据。
冠脉和静脉给予替罗非班对急性冠脉综合征经皮冠状动脉介入术患者的有效性和安全性系统评价,生命科学,新疆医科大学,系统评价急性冠脉综合征患者经皮冠脉介入治疗后，替罗非班经冠脉给药或静脉给药的疗效，本研究表明：与静脉给药相比，冠脉给予替罗非班，可以不增加出血风险基础上，增加靶血管血流及心肌灌注，降低短期内心血管不良事件发生率
乏氧选择性茚(1，2-b)喹喔啉-5，10-二氧-11-酮肟衍生物抗肿瘤前药设计、合成与细胞毒性研究,能源化工,河北大学,实体肿瘤中的乏氧细胞对放化疗药物均不敏感。生物还原性药物具有乏氧选择性细胞毒作用，选择性地杀死肿瘤乏氧细胞。氮氧化合物是一类具有前景的药物。采用IR、ＮＭＲ等手段进行表征。分别在常氧和乏氧条件下，测定化合物的体外细胞毒性。结果表明：在常氧条件下，化合物的体外细胞毒性低于还原产物；部分化合物的体外细胞毒性在乏氧条件下的高于在常氧条件下；部分化合物表现出良好的乏氧选择性。同时，肟醚侧链增大其溶解性。
极性D-π-A共轭喹啉类偶氮衍生物的设计、光谱性能及增强机理研究,能源化工,皖西学院,本文以喹啉基作为电子受体，取代苯胺基作为电子给体，设计制备了三种末端含不同氢键识别能力的、D-π-A共轭型、氮杂环喹啉类偶氮染料。通过理论推导、实验验证及理论计算等多种手段对分子结构、氢键作用、光谱性能、热稳定性及相互关系进行表征和探索，并对其增强机理进行详细研究。
苝二酰亚胺二聚体环芳化合物的自组装及其半导体性能的研究,能源化工,济南大学,经研究发现目标化合物具有优良的性能，如下：1.在空气和氮气中电子迁移率分别达到0.02cm2V–1s–1和0.03cm2V–1s–12.二聚体暴露在空气中90天之后依然稳定，电子迁移率几乎没有发生变化3.二聚体在自组装膜中具有很好的长程有序性和结晶性
低温水溶液制备纳米氧化锌阵列,能源化工,大连民族学院,ZnO纳米材料已成为国内外半导体纳米材料热点研究领域。该作品创新地以蓝宝石图形以及不锈钢钢网为基底，采用低成本的低温水溶液方法，利用其周期结构继而构建形貌可控的ZnO纳米阵列。旨在发展和建立组成和结构可控、大面积有序成长的纳米半导体材料.该方法具有成本低、反应条件温和、绿色经济、形貌可控、适合大面积生长，为今后应用于公司生产实际中提供理论支持和技术保障。
用于太阳能电池的（噻吩-苯-噻吩）基窄带隙聚合物的性能研究,能源化工,兰州石化职业技术学院,"采用Stilling偶合反应合成了噻吩-苯-噻吩和2,5-二(三甲基锡)基噻并[3,2-b]噻吩窄带隙交替共轭聚合物PTPT-bT。在模拟太阳光照AM1.5下，基于PTPT-bT:PC70BM(1:4)共混膜的光伏器件的光电转换效率为2.99%，开路电压为0.80V，短路电流为6.97mA/cm2，填充因子为0.48。"
离子印迹硅胶材料的制备、表征及性能研究,能源化工,沈阳化工大学,本项目以有毒重金属为研究目标，采用表面接枝法和溶胶凝胶法，制备一系列的离子印迹硅胶材料，利用IR、SEM、TGA-DTA、N2吸附等技术对其进行了表征，采用静态吸附实验考察了其吸附、解吸和再生性能，通过动力学模型和吸附模型的拟合，以及热力学计算考察其对重金属的吸附机理。结果表明：离子印迹硅胶材料具有高效性、选择性、可再生性、重金属可回收性，是一种无二次污染的绿色环保的重金属去除剂。
医院环境汞分布和污染研究,能源化工,桂林理工大学,本项目历时两年，通过对桂林市有代表性的4个三甲医院环境中大气、土壤、植物、医护人员尿液和头发中汞含量分布规律的研究表明，医院内已受到不同程度汞污染。各医院汞含量最高位置均为门诊部和注射室。牙科医护人员尿汞和发汞含量高于其他科室。医源性汞污染均有向周边扩散的趋势。结合现场调查情况综合分析，含汞医疗器械破损引起汞泄露、含汞药剂使用、含汞医疗废弃物不规范处置、医疗污水处理不到位是医院汞污染的主要来源。
新型绿色含氮磷阻燃剂的合成与应用,能源化工,闽江学院,该阻燃剂体系包含：乙二胺磷酸盐（IFR-1）、1-三聚氰胺-2-羟基-磷酸三丙酯（IFR-2）和硅藻土。结构式通过傅里叶红外光谱仪（FTIR）和核磁共振（NMR）给予确定，燃烧性能通过UL-94垂直燃烧和极限氧指数（LOI）测定，并通过TGA考察了稳定性和热分解行为。抗冲击性能测试显示添加该阻燃剂体系后，相较未添的加环氧树脂，其性能仅仅削减了6.25%。该项目成果正在申请专利中。
超低温冻融循环后混凝土应力,机械与控制,天津大学,最低降温至-160℃时，通过对21个尺寸100mm×100mm×300mm的砼棱柱体试件进行冻融循环后的应力-应变全曲线试验，考虑温度、冻融循环次数等参数的影响，分析比较了不同温度和冻融循环次数对砼应力-应变全曲线的影响。研究表明：超低温冻融循环后砼峰值应力降低，峰值应变随冻融循环次数的增加而增加；通过非线性拟合得到了受超低温冻融循环作用的砼应力-应变理论曲线，可为砼材料的非线性分析提供参考。
二次受力钢筋混凝土梁极限承载力计算方法研究,机械与控制,重庆交通大学,桥梁加固后通常存在二次受力（即不同层面或结构部分上的应变/应力滞后）的问题。本文研究了钢筋混凝土梁桥采用增大截面法加固后，结构的极限承载力计算方法。理论分析、ABAQUS有限元软件计算及模型实验都表明，二次受力钢筋混凝土适筋梁在极限状态下，所有受拉钢筋都会屈服，与初始荷载无关。由此对现行规范中相应算法做出了修正。
基于环境激励的斜拉桥索力识别精度分析,机械与控制,东华理工大学,本项目紧紧围绕如何提高拉索固有频率的识别精度这个核心问题展开，以实测数据为依据，经平滑降噪处理后进行多种识别方法下索力识别的对比分析，有效克服随机噪声信号的影响；根据拉索的实际情况，考虑采样时间和采样点数、抗弯刚度、频率分辨率、边界支承以及减振装置五大因素的影响，修正由基频计算索力的实用公式，对拉索的索力识别进行精度分析。
基于MATLAB的球墨铸铁金相分析研究,机械与控制,云南农业大学,通过用数码相机对球墨铸铁的金相图进行静态拍摄以采集图像，运用matlab对采集的球墨铸铁金相图进行处理分析，所选取的图像进行图像灰度化、图像滤波、二值化的方法初步得到单粒石墨的面积展开图，提取石墨的图像特征，并分析了球墨铸铁的石墨化程度、石墨面积、石墨球化率、石墨化分级等方面，并利用数学方法来计算面积大小并验证其所属的球化级别。
城市隧道火灾时混合通风模式的研究,机械与控制,南京工业大学,本作品研究了半敞开式自然通风隧道火灾时的通风排烟效果，针对其不足，首次提出应用混合式通风来解决火灾烟气控制与人员安全疏散，并运用FDS模拟软件及江苏省重点实验室风洞实验装置对自然通风和混合通风模式下城市隧道火灾烟气扩散分别进行数值模拟和实验研究。结果表明，混合通风模式下烟气得到了较好的控制，效果明显优于自然通风；在合理的排烟量范围内，既能保障人员的安全疏散，又能满足节能要求。
直流电型隐形装置,信息技术,兰州大学,我们提出了第一个静电隐形衣的实验验证。利用导电材料与电阻网络类比关系，直流隐形衣的设计、制作和测试可依据根据电路理论。我们证实直流隐形衣可以引导电流平滑地流过隐形区，并且只有隐形衣内部有扰动。隐形衣外部电流线返回到他们原始的方向，就好像是什么都没有发生一样。通过控制各向异性电导率来操控静电流有很多潜在的应用，比如阻抗成像、石墨烯、自然资源探测和军事隐藏。
多光照环境下的第一人称手部检测,信息技术,清华大学,随着谷歌眼镜等第一人称设备的相继发布，在第一人称设备上可以实现更多类似手眼协调交互，手持物体识别等应用。而手部检测在此类应用中是一个基本问题。为了尝试解决第一人称摄像头中进行多光照下手部识别所遇到的挑战，我们在一些新的和他人公开的数据集上，分析了现有局域特征的有效性，指出在特征上进行稀疏选择，以及使用对全局光照进行建模能有效提升算法的性能。
基于图像形状与颜色的三维模型检索,信息技术,北京师范大学,提出了一种基于二维图片检索三维模型的检索模式，本文为剔除复杂背景的干扰，提高检索精度，首先对二维图像进行预处理及目标物的提取，传统的GrabCut算法，利用能量分割函数，对于前景物进行提取。然后交互式提取待检索对象的形状描述子和颜色描述子，并行进行L距离的计算，与数据库中三维模型的形状与颜色特征进行匹配，利用加权平均的方法计算出最终的排序结果。
基于完全二叉树结构的堆调整算法,信息技术,青海大学,该论文主要针对目前国内还没有关于给定的具有完全二叉树结构数据集合的直接调整的算法，而给出比较系统的算法。论文通过介绍相关领域所处的情况，发现问题，提出算法，解决问题，进行对比，得出结论。
基于配送中心的交通网络布局问题的研究,信息技术,武汉工业学院,基于配送中心的交通网络布局问题适用于配送中心选址和车辆调度优化、配电网重构、电信网络布线、城市供排水管网布局、原油和成品油管道布局等相关领域。基于全局、可行的搜索思想提出了改进遗传算法，引入检查函数以确保染色体的可行性和问题的开放性（约束条件的增加不影响算法）；缓解时间复杂性和全局收敛性矛盾的方法：改进变异操作；保留优秀个体；优化交叉率和变异率。与其他算法的比较结果是：改进遗传算法的计算效果更好。
基于NSCT的医学图像融合算法研究,信息技术,兰州交通大学,相比较于传统的Contourlet或者NSCT方法，本文方法将Beamlet检测到的图像线性特征信息加入图像融合过程中，能得到线性边缘细节特征更为明显的融合图像。相比于传统的NSCT图像，本文利用Beamlet变换在图像先检测上的优势，有效提取图像边缘信息，从含有强噪声的图像中分析出目标的线性特征，将Beamlet检测到的边缘信息以边缘密度的形式表示
Q空间上拟共形映照问题,数理,北京航空航天大学,给定一个从n维实空间到n维实空间的拟共形映射，其中n大于等于2，我们证明了由其引导的复合算子C_f在Q-空间上是否有界依赖于指标\alpha和f的雅克比行列式的退化点集，从而回答了Essen-Janson-Peng-Xiao于2000年所提出的Q空间拟共形不变的及刻画Q-延拓区域的一个公开问题.
核子分离能公式的改进及GK关系新特征的发现与解释,数理,上海交通大学,本作品通过在全局核子分离能公式中采用更准确的配对相互作用形式并首次引入对称能，改进了分离能公式；首次证明了分离能局域线性关系是改进的公式的近似表达，并解释了分离能的奇偶振荡现象，提供了预言中子滴线的新思路；发现并首次解释了Garvey-Kelson（GK）关系相对于实验数据的系统偏差和奇偶振荡现象。通过对分离能公式的改进及对GK关系的研究，在不同区域提高了对核子分离能及原子核质量的描述和预言精度。
大型强子对撞机上重W规范玻色子对产生过程的精确研究,数理,中国科学技术大学,重W规范波色子是理论上预言的一种标准模型之外的新粒子。我们这项工作在理论上研究了重W规范玻色子对在大型强子对撞机上的产生过程，同时考虑了量子色动力学辐射修正对该过程的影响。工作结果可作为大型强子对撞机上进行相关实验的理论依据。
CVD石墨烯的刚度增强效应,数理,北京大学,石墨烯为已知的强度最高的材料。我们对CVD石墨烯的力学性质进行了研究。我们发现，在大张力的拉伸下单层石墨烯的刚度会出现大幅度的增强。通过测量拉伸前后表面形貌的变化，我们认为拉伸的过程中褶皱被拉平导致了石墨烯的刚度增强。这个结果已经发表在国际期刊ACSNano上（影响因子11.4）。同时我们发现，即使是简单地将两层石墨烯堆叠在一起，双层石墨烯的平均破裂力是单层的4倍，破裂强度得到了很大提高。
关于Schrodinger微分系统全局结构的研究,数理,湛江师范学院,耦合非线性Schrodinger方程是描述非线性现象的基本模型，可以用于描述广泛的物理问题。该方程具有广泛的物理背景，对其进行理论研究有着重要意义。本文利用平移变换、Poincare变换、结构变换研究对称孤子模式下耦合非线性Schrodinger方程经过变分近似替代得到的非线性系统-bU+?U?+U?+dU(2U??+2UU?)+U=0的全局结构。
具有非李普希兹非线性时滞格点系统的拉回吸引子的上半连续性,数理,兰州大学,本文主要讨论了非自治多值时滞格点系统的渐近行为及其应用方面的工作。文章首先给出验证非自治多值时滞格点系统拉回吸引子存在的关键性条件--渐近上半紧的新方法，然后建立拉回吸引子关于小时滞摄动、非自治摄动和奇异摄动的上半连续性。作为应用，我们将利用理论结果研究具有生物背景的变时滞、分布时滞、或无界时滞的非自治格点系统解的长时间行为。
表面等离子激元诱导透明平面超材料的研究及应用,数理,南开大学,本项目从理论、仿真和实验三方面，着重研究了基于表面等离子激元诱导透明（PIT）现象。根据文献调研，解决目前PIT领域存在的两大关键固有缺陷，提出并设计了周期性旋转对称微结构，突破结构对称性破缺的固有限制，从实验上实现了偏振不敏感广角PIT现象；然后进一步设计在金属微结构表面添加氧化钒等动态调控性材料，实现动态调控杂化超材料PIT透明窗口；理论上提出四能级模型，很好的阐述了PIT现象机制。
关于多典范截面指标为12的一般型三维簇,数理,复旦大学,三维双有理几何中，对一般型三维簇作典范分类是一个重要的问题。当多典范截面指标为12的情况，至今没有很完整的分类。本文的目的就是研究δ=12时的一般型三维簇。通过理论推导和程序计算，δ=12时的完整分类，并得到了体积的下界为31/48048。
小脑皮层回路信息合成与突触学习,数理,华南理工大学,①首先研究了浦肯野神经元胞体的单房室模型丰富的动力学性质。②然后利用神经元的多房室模型建立小脑皮层回路模型，研究该网络中浦肯野神经元发放模式以及树突计算。③接下来研究小脑皮层网络中Ca离子在突触可塑中的作用。④为了进一步研究突触可塑性，我们建立了海马网络来研究其中存在的时序突触可塑性（STDP）。⑤通过对比小脑皮层与海马网络中突触修饰方式的差异说明突触可塑性的多样性。
稀土四硼化物多级分数磁化台阶的模拟计算研究,数理,华南师范大学,自旋失措体系稀土四硼化物由于其展现出的多级台阶状磁化行为而受到人们的广泛关注，但其相关物理机制至今还不甚清晰。本工作使用蒙特卡罗方法和Glauber动力学算法模拟分析了该体系的磁性质。证实了长程相互作用是形成亚铁磁1/2主台阶的主要原因，其余的一些分数小台阶可能是由非平衡磁化动力学引起的。最后本工作还对低温零场下的相竞争过程进行了详细的分析与讨论。本工作研究成果对深入理解该体系有着重要的作用。
贵州铜仁枫木寨隐爆角砾岩筒的发现及其地质意义,数理,中国地质大学(武汉),该隐爆角砾岩筒是研究区首次发现的一种特殊地质作用（深部岩浆气液作用）的产物，故属于具重要科学意义的新发现。对于研究该地区大规模汞矿、铅锌矿床形成机制与成矿物质来源，寻找含金刚石的岩筒开阔了思路。首次找到了过去地质前辈们在该区想找而一直未找到的汞、铅锌等有用元素来源于地壳深部可能的通道，为建立汞、铅锌深部岩浆气液成矿新模式提供了一定的科学证据。
多技术联合研究天南星科有毒中药共性炮制解毒机理,生命科学,南京中医药大学,天南星科有毒中药具有强烈刺激性毒性，中医用白矾炮制可降低毒性使在临床安全应用。作品以多技术联合，首次研究阐明这类有毒中药炮制解毒机制：白矾溶液中Al3+可与毒性成分毒针晶中草酸络合，促使草酸钙溶解，毒针晶刚性结构破坏，机械刺激下降；同时白矾溶液可降解毒针晶带有的凝集素蛋白，使促炎作用下降，双重机制导致解毒。作品证实传统白矾炮制方法的科学性，研究思路和结果可指导工艺改革、临床应用和炮制研究。
优化酶表达与定位对细菌脂肪酸合成促进的研究,生命科学,上海交通大学,生物合成脂肪酸量是影响生物柴油产量的技术关键，为此本作品对促进大肠杆菌脂肪酸合成的方法进行了研究：首先设计了稀有密码子开关，实现了细胞内最优化的酶表达量配比，使产量提高1倍；随后构建了细胞膜蛋白支架，将关键酶定位在膜上，直接减少酶间距离，使脂肪酸被高效加工并排出胞外，产量提高24倍且便于萃取回收。该普适性方法可应用于藻类脂肪酸合成；也能调节其他代谢途径，在生物燃油、药品合成等领域应用前景广阔。
基于李斯特菌载体的结核病新型疫苗的构建及其保护性免疫应答,生命科学,扬州大学,"由结核分枝杆菌引起的结核病是单病原菌引起的世界上死亡人数最多、造成危害性最大的传染性疾病。卡介苗(BCG)是当前唯一获准用于预防结核病的疫苗,能有效的预防儿童的结核病，但不能有效地预防成年人结核病，此外BCG的保护效果在不同地区存在显著差异（0-80%），因此，研制和开发预防结核病的新型高效疫苗对于有效控制结核病具有重要的公共卫生意义。"
对褐飞虱有效的新型BtCry毒素的定向改造,生命科学,福建农林大学,本研究运用噬菌体短肽文库展示技术筛选出能与褐飞虱中肠内膜结合的短肽P2S；利用分子区域替换技术将短肽P2S及本室早先筛选出的能与褐飞虱中肠刷状缘膜囊泡结合的短肽P1Z，分别对Cry1Ab决定受体识别的3个loop进行替换。最终获得六株新型的Cry蛋白，并进而筛选出一株在褐飞虱中肠中最稳定、与中肠BBMV结合能力最强、毒性最佳的新型Cry毒素Cry1Ab-2S。
干细胞基因治疗的新型非病毒载体—DNA-多糖纳米粒的研究,生命科学,江苏大学,基因疗法对重大疾病的治疗具有巨大潜能，但目前的瓶颈是病毒载体的安全隐患和非病毒载体的低转染效率。本作品以研制安全高效的新型非病毒载体为目的，以干细胞转染为切入点，创新性的选用安全无毒的天然多糖为原料，运用自组装纳米粒制备技术，通过阳离子化修饰的多糖构建粒径在100nm左右的DNA-多糖纳米粒。结果表明，与公认的市售转染试剂Lipofectamine2000相比，细胞转染效率显著提高且毒性降低。
氮肥高效利用的水稻根际分子生态学研究,生命科学,福建农林大学,针对当前氮素利用率不高的现状，本研究通过对田间不同氮肥运筹方式的考察发现，在总施氮量不变的前提下，适当地增加水稻生育后期的氮肥施用比例能够显著地提高氮肥利用率及稻谷的产量。为了明确稻田氮肥高效利用的根际分子生物学特性，本研究进一步采用环境组学策略，分别从根际土壤微生物群落变化，蛋白表达变化及代谢物质变化三个层面，系统地探讨了水稻根际土壤生态系统对氮肥高效吸收利用的分子机制。
乙型肝炎相关慢加急性肝衰竭预后预测模型的研究,生命科学,温州医科大学,乙型肝炎相关慢加急性肝衰竭死亡率高，现今还未有一种公认合适的预后预测模型。本研究前期运用传统MELD评分系列模型预测此类肝衰竭预后，发现其存在明显不足。鉴于疾病的复杂性，我们首次运用人工神经网络分析方法，结合大样本临床数据，构建非线性模型，克服了此类肝衰竭预后影响因素的多元性及复杂性。同时，我们将模型运用于全国多家医院，平均预测准确率为81.1%，表明模型具有良好的预测性能，具有较大的推广价值。
丁酸缓解幼龄动物断奶腹泻的作用和机制,生命科学,中国农业大学,据报道，打捞的黄浦江死猪中仔猪数量高达80%，可见仔猪健康状况堪忧，而断奶腹泻则是导致仔猪死亡的最主要因素之一，目前国内外常使用抗生素缓解断奶腹泻，但副作用明显。本项目通过动物机体、组织、细胞和分子层次的实验深入研究了丁酸这一微生物重要代谢产物缓解仔猪断奶腹泻的作用和机制，为丁酸用于缓解仔猪断奶应激腹泻提供理论依据，进而从饲料添加剂的角度降低仔猪死亡率，保障畜产品的安全与质量，并提高养殖户收入。
一种新型免疫调节剂增强人NK/iNKT细胞功能的体外研究,生命科学,河北大学,传统的iNKT细胞体外扩增和纯化方法效率低下，经我们应用新型免疫调节剂CH1a，不仅提高了iNKT细胞的数量及纯度，而且显著提高了NK/iNKT细胞对肿瘤细胞的杀伤活性。证明了新型免疫调节剂CH1a能够促进iNKT细胞的增殖和分化；同时增加iNKT细胞释放IFN-γ和IL-4，促进Th0向Th1分化，提示此种免疫调节剂有望未来应用于肿瘤患者的治疗。本研究发表论文4篇。
重组酵母细胞快速检测猪尿液中雄激素类化合物,生命科学,扬州大学,任何雄激素类药物均可与雄激素受体（AR）结合，进而与雄激素反应元件（ARE）结合，顺式激活相关性基因的表达。因此，利用基因重组技术在酵母细胞中表达AR，再将ARE与所选用的LacZ报告基因相串联。雄激素类化合物与AR结合时，即可发生变构效应，再与ARE结合，顺式激活LacZ基因的表达，其表达量与雄激素类药物有某种剂量效应关系。通过测定其表达产物来检测家畜排泄物中的雄激素类药物的残留。
创建家蚕糖尿病模型评估新研制口服胰岛素制剂的功效,生命科学,江苏大学,本作品重点是通过构建家蚕糖尿病模型来评估新研制口服降血糖制剂的功效。依据人体胃肠道的消化特征，将带有肠激酶标签的胰岛素原通过同源重组展示在枯草芽孢杆菌的表面，构建成重组益生菌。进一步构建家蚕糖尿病模型对该重组菌评估了降血糖的功效，并用小鼠的糖尿病模型进行验证，从而制备了有效的口服降血糖制剂。结果表明，重组益生菌通过两种模型证明口服具有降血糖功效，其产品具备工业化生产应用的前景。
