[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
山西省县级人民政府网络信息公开调研报告,法律,山西大学,本调研报告以山西省起草、论证《政府信息公开规定》和《山西省信息化条例》为契机，对山西省120个县级政府网站“政府信息公开栏”进行3个月的数据收集、分析，指出现有成效、存在的问题，并在此基础上就完善网络信息公开内容、提升信息透明度、规范信息公开方式等提出相关建议。为促进山西省政府关于信息公开的地方性立法提供重要的基础性数据，同时对我国“推进政务公开、确保公众知情权”具有重要意义。
社会转型时期替代性纠纷解决机制的创新尝试,法律,厦门大学, 在“半生不熟”的社会关系、“司法缺位”的救济现状及依法治国方略地位提升的背景下，厦门市率先开展了“无讼社区”的创建活动。课题组通过实地走访厦门市的三个“无讼社区”试点地，分析其实践模式之间的区别与特点，总结无讼社区运行模式的优势，并发现实施过程中的不足之处，提出完善对策。最后从厦门“无讼社区”构建出发，总结该制度对法治建设的意义。
提升民族地区普法工作实效的路径选择,法律,云南大学, 少数民族地区，由于长期受到民族习惯法调整，现代法治长期缺失这一特殊性的存在，使得用传统普法方法在当地推行国家制定法的效率较低。少数民族习惯法与具有普遍性的国家法律分享着一些共同的价值观，又有着其特殊性，其是各民族社会秩序的重要基础，因此对它不能进行破坏性的改造，而应该进行有针对性的调适。作品基于国家法与民族习惯法的互动性，探究提升民族地区普法工作实效的路径选择。
我国涉海司法实践新研究,法律,浙江工商大学,本文重点讲述了项目组在海洋经济崛起，涉海法律诉讼量迅增的背景下，深入开展社会调研活动和研读大量同行研究成果后，总结并剖析了目前海洋法律服务业存在的突出问题。为帮助解决这些问题，项目组自主设计了以海商法为主要内容的SROB法律逻辑框架，结合了CBR计算机技术，开拓性地研发了涉海专业性模拟审判系统——海洋之星模拟审判系统，推动了法律智能系统研究的发展。
刑事诉讼变更管辖问题研究,法律,中国政法大学,文章旨在通过实地走访调查，对三地的变更管辖制度进行详细解释。同时对刑事诉讼变更管辖制度进行科学的学理探讨，对现行制度进行反思和重构，以期促进变更管辖在我国不断走向深入，实现其立法价值。文章可以分为5个大的部分。一是前言，主要是提出问题。二是对实证调研的数据资料进行分析。三是对变更管辖的理论探讨，也即分析问题。四是对变更管辖制度的反思，也即解决问题。五是结论。
中美知识产权争端中的“恶名市场”问题调查报告及对策分析,法律,中南财经政法大学,“恶名市场”问题是中美知识产权争端中出现的新问题，自其产生以来就受到了国家的高度重视，但是国内外对此问题鲜有研究。本调查报告根据调查问卷、实地走访，访谈以及文献综述等多种调研方式所搜集的数据和文献资料，客观辩证地分析“恶名市场”问题。合理确定政府机关、司法机关、社会组织和社会公众在知识产权保护中的责任与义务，综合协调立法、执法、普法建设，推动知识产权保护合力的形成。
“45天速成”，并非危“鸡”四伏,管理,河南农业大学,2012年11月，被媒体曝光的“45天速成鸡事件”将肉鸡生产的安全问题推向了风口浪尖。由于消费者缺乏对“45天速成鸡”的科学认识，导致“速成鸡”销售量大大降低，对整个肉鸡养殖行业造成很大的冲击。本作品旨在通过调查，针对消费者最关注的问题，科学解读“45天速成鸡”，回答消费者最关心的问题，通过“45天速成鸡”现象引发了对食品安全等问题的思考。
“长株潭3+5城市群”废旧电池“协同创新”循环利用模式实践研究,管理,中南大学, 作品连续3年通过在“长株潭3+5城市群”开展实地调研、大型公益活动与科技帮扶工作，取得了一系列成果，产生了良好的社会影响。在中南大学和娄底市开展了废旧电池回收大型环保公益活动，直接促成了娄底全国首个“城市矿山”回收利用产业化基地的建成；开展了废旧电池回收利用现状的调查研究和实践分析，构建了系统的回收利用体系和“政产研学金”五位一体的协同创新合作机制，并逐步开始进行科技攻关。
促进发达县域地区新能源利用的有益探索,管理,南京航空航天大学, 随着我国经济社会的快速发展，能源和环境问题日益凸显，“十八大”中提出要推动能源生产和消费革命，支持节能低碳产业和新能源、可再生能源发展。本团队以昆山市作为发达县域的典型代表，通过调查表、访谈和实地数据收集等形式深入昆山市政府部门、46家企业和58个重点项目，了解其新能源开发基础及发展现状，通过挖掘存在问题，探究其在新能源利用方面的经验，在此研究基础上推广总结发达县域提升新能源利用的对策。
大城小梦,管理,同济大学, 在新型城镇化的背景下，“夹心层”的住房保障成为关系社会发展的重要问题。现行的公租房体系是解决此问题的良好途径；但受多因素影响，其运营出现种种问题。作品以上海为例，通过调研获取第一手数据，依托专业优势，从社会、经济、建筑的角度考量该问题。从公租房供应现状和使用需求出发，分析当下公租房供需关系中的五大矛盾，提出有针对性应对策略，并开发虚拟选配网络平台，阐述其对接目前供需诉求的运作模式。
高新区产业集群协同创新网络建设调研报告,管理,武汉科技大学,作品以湖北省为例，以协同创新网络建设为突破口对高新区产业集群进行调研。项目组成员采用实地调研和查阅统计数据相结合的方式，获取大量数据；在此基础上，从整体运行效率（DEA）、集群化发展水平、协同创新能力评价及其制约因素这4个维度定量分析；从而提炼了目前制约高新区创新网络建设的问题；进而从网络整合优化和战略构想两方面提出对策建议，对全国的高新区建设发展存在指导意义。
河北省中小企业就业人员社会保险现状调查研究,管理,河北大学,本次中小企业社会保险调查在唐山、保定、张家口三个不同发展水平的城市进行。通过发放问卷、走访记录和深度座谈相结合的调研方式，深入300余家中小企业，掌握大量一手资料和可靠数据。总结出河北省中小企业就业人员的社会保险现状和问题以及出现问题的原因，并相应地提出了诸多切实可行的解决方案。希望通过这些切实可行的解决方案，能够得到政府有关部门的重视及反响，进而改善中小企业就业人员的社会保险状况。
基于物联网技术的城市公共交通服务管理平台设计,管理,山东交通学院,“基于物联网技术的城市公共服务管理模式——智慧公交”项目，是建立一个基于物联网技术的智慧公交服务平台，通过车联网、视联网、物联网三个层面组成智慧公交管理模式，通过ITS、RFID等技术，提升人、车、站综合协调能力，实现乘客智慧出行、线路智能优化、车辆智慧运行。该模式希望通过公共交通的智慧化管理，达到公共交通“出行更便捷、乘坐更舒适、换乘更方便、运营更安全”的目标。
南方特色水果供应链的品质安全风险评价与管理,管理,广州大学,食品问题频发对食品安全风险评价工作提出了更高要求。本论文以南方特色水果龙眼为研究对象，研究龙眼供应链的生产、供应、物流、零售、消费环节，结合大量的实地调研和模拟实验，探讨龙眼供应链过程存在的风险现状。通过调研，运用层次分析法等建立安全风险评价指标体系。通过实验，运用专家评分法等建立品质安全指标体系，提出防范措施，为其他南方水果提供研究思路，降低食品安全问题的发生几率，提高其经济效益。
农村宅基地置换：如何成为一项好政策？,管理,浙江大学,农村宅基地置换是推进我国城镇化战略的重要抓手。先行者J市提出的“两分两换”宅基地置换政策在全国范围内引起了广泛的讨论与关注。作品重点关注J市三个试点镇宅基地置换的始末，采取多案例分析方法，梳理出农村宅基地置换工作中存在的三大困境，并从公共政策过程视角总结J市置换工作中的已有经验，提出破解困境的建议，最终使农村宅基地置换成为“农民满意、政府愿意、发展受益”的好政策，推动我国城镇化战略的实施。
如何让“菜园子”直通“菜篮子”? ,管理,河南工业大学,农民卖菜难，市民买菜贵是社会各界所共同关注的民生问题，如何使“菜篮子”直通“菜园子”是解决这个问题的一个很有效的手段。以“农超对接”模式为新方法的农产品物流体系的构建在一定程度上能够解决这个问题。郑州作为全国“农超对接”工作的试点城市，在这个方面的发展具有借鉴意义。因此我们对郑州市“农超对接”的发展现状，存在的问题进行了调查、分析并提供有效的建议和对策。
陕南大移民后期扶持政策效果的调查,管理,东北石油大学,2011年5月6日陕南移民搬迁工程的启动，引起了全社会的广泛关注。陕西省政府出台了一系列后期扶持政策。为了解其具体效果，我们深入移民安置点进行了实地调查。通过问卷调查，个案访谈等方式获取了相关的数据与资料，经过SPSS软件分析后，发现扶持政策积极效果明显，但政策本身以及政策推行过程中存在一些不足。针对发现的这些问题，我们依据“推-拉理论”并结合“IRR模型”，为政府完善政策提供可行性建议。
水泥企业工作水平评估体系的构建,管理,洛阳理工学院,"基于水泥行业产能过剩的背景,以河南省全部51家水泥企业的工作水平为研究对象，以交叉学科理论为基础，构建了普通水泥企业多层评估指标和基本要求的评估体系。运用TOPSIS和模糊综合评判等模型对企业进行横向排序和单一企业纵向比较的实例研究，通过评估找出了阈值。拟定《河南省绿色水泥企业技术要求（草稿）》地方标准。为水泥行业及政府决策提出参考建议。课题受到河南省建材工业协会的好评；课题组已发表论文8篇。"
西部无电区太阳能应用管理模式创新,管理,华北电力大学(保定),十八大报告提出，坚持节约资源和保护环境的基本国策。实地调研发现，部分无电地区存在太阳能发电设备（户用设备、离网电站）因缺少维护维修而损坏废弃，影响当地居民长期持续用电，导致公共财政资金重复投入。作品基于“改善民生，促进地区平衡发展；政府主导与监管，保证长期用电；五方协调联动，提高投资效益；发展绿色电力，坚持节能环保”四项原则，提出政府、国家电网、企业、高校及农牧民五方协调联动的新型管理模式。
心理契约对规范型营销渠道治理方式影响,管理,中国人民大学, 本文将心理契约引入规范型渠道治理进行研究，提出6个假设，通过对江西省农业龙头企业的调查，采用多元层次回归方法对数据分析，探讨心理契约对规范性渠道治理方式的影响，结果显示：交易型心理契约纬度对规范性渠道治理方式有负向显著影响，关系型心理契约纬度对规范性渠道治理方式有正向显著影响，规范性渠道治理方式对渠道投机行为有负向显著影响。论文强调心理契约对规范性渠道治理的重要性和必要性。
新型农村社会养老保险基金收支平衡研究,管理,中南民族大学,本研究通过对湖南省通道侗族自治县的调查，运用保险精算技术，构建新型农村社会养老保险基金收支预测模型，测算该县在目标区间养老保险基金收支变化趋势，结果发现：2017年开始出现缺口，2055年缺口达到最大值，随后会逐渐降低。因此，为了实现新农保基金收支长期平衡发展，政府应进一步完善新农保制度设计，加强保险基金监管力度，创新新农保基金投资机制，加快新农保相关法律建设，加大对贫困地区的财政支持力度。
异地老人医疗报销障碍、损失评估及改进方案,管理,华北电力大学(保定),医疗保险报销问题是异地养老老人面临的最大障碍。基于京津冀调查发现，异地老人医疗报销满意度低；异地医疗存在报销手续繁琐、损失大、抑制就医需求等问题；结合宏观政策比较分析发现，医疗保险地域分割、人群分割是主要成因。利用人口和医疗数据，评估异地老人医疗报销的损失规模和变动趋势。最后，针对异地就医问题，系统提出基于现有制度的两地报销互认、允许老人异地缴费参保、统一的国民医疗保险三种改革方案及配套措施。
整车物流资源计划编制,管理,昆明理工大学,本研究以安吉物流公司为切入点，设计、编制一套整车资源计划系统，以解决目前整车物流行业在资源计划编制环节存在的问题，为接下来的调度环节做准备。
中国非正规小微企业生存性与合法性研究,管理,中山大学,有着非正规特性的小微企业为我国在世界就业战争中规模性地提供了劳动力主力军，同时也是“中国制造”的重要生产要素基础。本项研究工作对全国450家小微企业和广东省8个集群内790家小微企业进行大样本深入调研和实地访谈，基于社会网络理论与制度理论的视角，对不同集群内小微企业的生存状态进行对比分析研究，并探索了利用社会网络提升非正规小微企业生存性与合法性的途径。提出要强化“中国集群制造”的文化宣传等建议。
中国慢性病防治“四位一体”管理模式的探索,管理,东南大学,本项目在全面分析国内外慢性病管理模式基础上，针对国内模式不足，借鉴同伴支持理念和志愿服务，提出构建“医院-社区-患者-志愿者”四位一体慢性病防治管理新模式。并以南京九社区的糖尿病患者为例试点运行，通过定量分析（生理、心理、社会、经济等指标）和定性访谈（专家、患者、社区人员、志愿者、管理人员等），评估该模式实施的可行性、有效性、经济性，针对遇到的困难提出解决策略，同时就模式进一步推广提出政策建议。
中小企业高端化开放式创新模式推广的探索,管理,江苏大学,苏州中小企业创新实绩打破学术界对中小企业的认知。为总结推广苏州中小企业技术创新成功经验，作品进行多阶段、递归式调查：5家典型企业调查表明高端化开放式创新模式是中小企业高效创新的驱动力；360份样本调查表明苏州中小企业正处迈向高端化开放式创新的蓄势积累阶段；550份样本调查和比较研究揭示迈向高端化开放式创新的瓶颈因素。基于国内外比较研究从企业和政府角度设计中小企业高端化开放式创新模式全面推广的对策。
PM2.5公众认知及其对政府政策制定的价值研究 ,管理,南京信息工程大学,生态文明建设是十八大中提出的一项重要精神，在我国PM2.5问题日益严峻的今天，对其进行监测与防控极具意义。本项目组结合调查问卷与多方访谈，运用规范的分析方法对我国PM2.5公众认知情况进行了深入研究，并就其对政府政策制定的价值作出探讨，同时结合协商民主理论，探索出公众参与PM2.5政策制定的四级阶梯模型，为政府部门制定治理PM2.5的政策提供参考。
城市社区综合体制改革的模式创新,管理,安徽大学, 本作品基于安徽省铜陵市率先开创的区直管社区综合体制的“铜陵模式”，通过多学科视角尝试探索城市社区综合体制的模式创新，以期解决中国向来以政府主导型为主体的城市社区综合体制中的问题，促进社区建设和城市化进程。
构建平安社区，“非典”十年新启示,管理,暨南大学, 本文从系统动力学理论一个崭新的视角对社区应急管理进行系统分析和系统模型构建，项目合理地运用多种数理方法进行研究，设计了一套有效评估社区综合应急能力指标体系和评价方法。同时采取多种方式对广东省部分社区应急能力发展现状进行了深入地调查研究，梳理了社区应急管理发展概况、特点以及问题，最后就加强社区应急能力进行了政策性的探讨和思考。
基于新浪微博平台的政务微博运营问题调查报告,管理,西安邮电大学,作品以新浪微博为研究平台，以运营规范化为目的，以当前中国国情为背景，结合相关文献，通过问卷调查了解民众态度和参与情况，并访问了多家陕西省相关政府单位，得出了新浪政务微博现存的八大主要问题。通过借鉴国内外政务微博运营的先进经验，结合国内实况，最终从重视政务微博、政务微博规范化、完善的推广和发展措施、建立绩效考评和奖惩制度四个方面整理得出一套完善系统的解决方案。作品顺应时代，挑战社会新问题，专注实践。
激发社会活力：公众参与社会管理的新探索,管理,吉林大学,我国正处于社会转型期，社会问题和矛盾突出。对社会管理创新工作提出了更高更新的要求。党的十八大确立了“党委领导、政府负责、社会协同、公众参与、法治保障”的社会管理新格局。而社会管理创新的重点和难点在基层，基于对安图县“群众诉求服务中心的”调研，立足于公众参与，贯彻党的群众路线，通过本土创新解决本土问题，对社会管理工作进行新的探索。
江南六大古镇旅游发展模式的比较研究,管理,复旦大学,江南六大古镇是我国江南水乡古镇的典型代表，即指江苏的周庄、同里、甪直和浙江的乌镇、西塘、南浔，上述六大古镇在旅游业发展过程中形成了各自的发展模式，机制各异的模式是古镇内部相关利益主体间相互制衡的结果。本文拟就人文关怀的视角出发，深入探讨了旅游者与目的地居民两大利益主体对六大古镇的旅游发展模式的感知，以期对模式的选取及优化提供科学依据。
将青春铭刻在新农村建设的蓝图上,管理,燕山大学, 本作品依托新农村建设的伟大工程，课题组历时一年多，组织300余人次深入秦皇岛市卢龙县、抚宁县57个村庄进行调研。针对农村综合环境现状，在科学分析调研数据基础上，明确了当前农村建设面临的共性问题，提出相应的整治对策。各专业以尊重事实、以人为本、因地制宜原则，设计了57个村庄综合环境整治规划方案。部分方案已经实施，得到了政府部门的认同。课题组在绘制新农村建设美好蓝图的实践中收获成长。
解决城市老旧小区停车难问题的对策研究,管理,北京联合大学,本文以垡头老旧小区为例，阐述了该地区停车难的现状、停车难产生的原因，论证了增设停车位的解决模式并进行了可行性分析，团队成员利用所学专业知识，完成了增设停车位的图纸设计和成本预算。该项目完成后，车位总量由改造前的541个增加至1281个，增加了740个车位，由现有车位能满足小区泊车需求的38%提高到90.2%，最大限度地缓解了垡头地区的停车矛盾。
莫让湿地变“失地”：辽宁省滨海湿地保护与管理的现状、问题及对策,管理,大连海事大学,辽宁省滨海湿地面积居全国首位，但因缺少合理保护与管理湿地逐渐变为“失地”。本作品，旨在为辽宁省滨海湿地保护与管理提供新方向，推动滨海湿地保护立法，提高公众忧患意识。本团队采用多种科学方式进行调研，走访了盘锦、丹东、大连等共七个相关管理机构，掌握了一手数据资料。作品发现并提出了滨海湿地保护管理中实际存在且亟待解决的问题。通过对调研结果的分析提出了将湿地保护与循环经济相结合等具有实际的推广意义对策。
鄱阳湖流域无序采砂引致的生态与社会问题调查研究,管理,江西师范大学,鄱阳湖流域的无序采砂因其引致的生态与社会问题深重而备受社会关注，作品选择乐安河和永修县的吴城镇作为样本，综合运用生态学、社会学、经济学等多学科的理论与方法，分析无序采砂对鄱阳湖流域的水文、生态、环境、渔业资源、野生动植物资源等方面产生的影响；从社会学角度剖析无序采砂所引发的社会问题；从经济学视角探讨无序采砂对地方经济的影响，并针对无序采砂的现状及其生态破坏与社会问题提出相关建议。
倾听叶尔羌，别让母亲河再流泪,管理,喀什师范学院,刚刚踏入这片土地的师生，禁不住乔戈里峰的诱惑，禁不住叶尔羌河的诱惑，禁不住流域荒漠生态、奇异民俗风情、千年古城的诱惑，对塔里木河上游叶尔羌流域复合生态系统、民族文化生态等，进行了多单位、系统地调查，野外考察、资料分析等，剖析流域资源、环境、生态保护和管理体制等存在的问题，基于生态文明、民族永续发展等理念，通过南疆生态文明中心、绿洲环保协会师生团队、邀请的专家组会议讨论，最后提出响应的对策或建议。
让“沉重的农村”轻起来,管理,华东政法大学, 《让“沉重的农村”轻起来》这份调研报告着重农村居民的环境维权，通过长达一年半的实地调研，分别至重庆、浙江、上海进行了有层次的调研，采用多种途径，调研得非常全面。获取了不少具有实际意义的案例和数据，反映了农村目前的环境维权现状。并且提出了针对农村问题的预防与救济对策，即加强公众对于环保事务的参与程度。
实现新型城市化中PM2.5污染防控对策探索,管理,广东工业大学,本研究通过走访政府与企业、采集监测数据、查阅相关文献等手段调查PM2.5产生原因、污染特征以及分析PM2.5对环境和人体健康带来的影响和危害。研究结合主因子分析模型（PCA）分析大气细颗粒物的来源。利用主因子分析对广州市PM2.5的来源进行解析，找出主要污染源，并深入分析当前广州市PM2.5的现状，综合得出治理与防控PM2.5的相关方法及措施。为建设两型社会与生态文明社会作出应有贡献。
天津低碳城市建设现状调查及与北京、上海、重庆典型城市的比较研究,管理,天津财经大学, 本文以雾霾天气为出发点，引出天津应该加快低碳建设的步伐。首先，分析了近年来天津的低碳建设情况；其次，从基数、碳排放密度、增长速度和低碳建设措施、产业结构调整措施、能源优化措施等方面对天津、北京、上海、重庆等四个直辖市进行了对比分析。最后，参考了大量文献，从宏观和微观两个层面对天津提出了低碳建设的建议。
微博全息透视及其在社会管理方面的正能量分析,管理,北京外国语大学,基于大量数据分析与关键词提取，本文从个体与整体出发将微博特性分为微博用户特征与平台舆论传播特征，凭借海量样本对微博特性及特性关联性进行全面挖掘分析，为微博监管、舆情引导等提供决策参考。此外，本文通过实例分析展示了微博在法制建设、弱势群体权益保护、社会应急体系及公正廉洁高效政府建设四个方面的正能量传递效用，并基于前述微博特性提出改进意见，充分体现微博在社会管理领域灵活运用的广阔前景。
我国典型区域农业机械使用现状及节能减排对策研究,管理,安庆师范学院, 本调研团队对安徽省农业机械的现状进行历时两年的调查，获得了安徽省平原、丘陵和山区等典型区域农业机械的类型、年活动时间和耗油量等资料。通过估算方法得出安徽省农业机械燃油消耗量以及PM2.5、NOX、VOC、SO2和CO五类污染物排放量，绘制出安徽省燃油消耗量和五类污染物空间源强分布；评价了我国典型区域的农业机械燃油消耗现状和农业机械化发展水平，并提出我国农业机械节能减排的具体对策和建议。
长江江豚集中性死亡成因与水生态环境保护对策研究,管理,安庆师范学院,在2012年长江淡水豚考察的基础上，对长江江豚的死亡时间、地点和原因进行分析，发现长江江豚死亡的根本原因是长江水生态环境的破坏，直接原因是饥饿和疾病死亡，集中死亡原因是2011年长江全流域干旱。从而提出强化栖息地保护、改善生境质量、制定法律政策等具体对策，从而达到保护长江江豚和其它濒危物种的近期目标，修复长江水生态环境的中期目标，实现人类经济活动和生态环境持续、科学、和谐发展的长远目标。
壮族文化生态保护实验区建设对策研究,管理,广西师范大学,我国是一个多民族国家，每一个民族不论大小，都对中华文化的形成和发展作出了独特的贡献，每一个民族的文化，都是中华民族的共有的精神财富。然而，随着社会经济文化的市场化、全球化、现代化，少数民族文化受到了严重的破坏，甚至面临着消亡的危机。难以保护和生存的非物质文化遗产，尤其是少数民族非物质文化遗产，在时代的背景下，更是生死难料。因此，保护与传承少数民族非物质文化遗产就成了这个时代艰巨而伟大的任务。
走出雾霾：把汽车插到电网上,管理,浙江工业大学, 电动汽车是实现城市交通低碳变革的战略选择。杭州是电动汽车示范运营试点城市之一，课题以杭州市电动出租车为主要研究对象，实地调研了运营企业及充换电站等相关单位，考察其运营现状，分析了电动出租车示范运营的发展瓶颈和制约因素，并依此提出了具体对策。本课题旨在推进节能减排社会的建设，促进低碳发展，对电动汽车的发展具有较强的政策指导意义，对我国战略新兴产业的发展具有一定的参考意义。
 智能手机中个人信息之“裸奔”,管理,湖南人文科技学院, 智能手机成为时代新宠，个人信息泄露、滥用现象触目惊心，但却很少有人关注与重视它的存在和危害。因此，本课题小组对智能手机中个人信息泄露的现象及危害进行调查，分析其相关性因素，找出泄露的诱因与途径，提出解决方案，呼吁公众在使用智能手机的同时增强对个人信息保护的意识，呼吁政府及相关组织加强对其相关法律的制订和完善，让信息不再“裸奔”，让我们更安全地享受智能手机带来的便捷服务。
 中国环境税征收管理模式选择研究,管理,中国地质大学(武汉), 项目以湖北湖南为样本，在大量调查的基础上构建了中国环境税征收管理模式选择的指标体系；将熵权---模糊综合评判模型引入中国环境税征收管理模式选择中。结果发现：“独立型”环境税征收模式最适合中国。在其框架下，“保代核、税务征收”模式是中国环境税征管模式最佳选择。最后，研究从税权划分、事权划分等方面，特别是整合现行与环保相关管理权限，对中国环境税征收管理模式提出了一些实施建议。
“保护式征收”：城镇化土地征收冲突治理模式研究,管理,温州大学,本作品，基于一定的社会调查和文献分析，研究了城镇化土地征收引发的社会冲突问题，分析了土地征收中的利益分配问题，通过“保护”农民土地用益物权，而不是“保障”给予失地农民最低生存的补偿，来帮助农民在城镇化中实现“市民化”身份转型。本作品撰写论文4篇，在《中国政治》（人大复印资料全文转载）、《公共行政》、《理论与改革》、《西部论坛》等CSSCI核心期刊上发表，同时，成果被中国社会科学院等全文转载。
城市机动车公共停车问题创新治理模式研究,管理,四川大学,本课题组通过实地调研五大中心城市获得的一手资料，分析城市机动车公共停车问题原因，提出城市立体互联停车与信息管理双网一体化并行的模式。城市立体互联停车系统以适配系统为主，打通地上、地下停车场横纵联系，扩大停车位容量，优化停车路线。以预约系统为主的信息管理系统通过整合停车信息，便于用户快捷、高效停车。该创新治理模式遵循“建管并重、以管带建”的原则，可有效治理城市机动车公共停车难问题。
